seqn.,myunique_id,myanger_direction,Target,mydeveloper_comment,R11,R12,R31,R32,R51,R52,POS,DEP,Targets
454,300318_15,ob,to pass pointers,'Also note that it is annoying to pass pointers to POD and string literals in Go.' ,,,,,,,"[(""'"", '``'), ('Also', 'RB'), ('note', 'VB'), ('that', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('annoying', 'JJ'), ('to', 'TO'), ('pass', 'VB'), ('pointers', 'NNS'), ('to', 'IN'), ('POD', 'NN'), ('and', 'CC'), ('string', 'NN'), ('literals', 'NNS'), ('in', 'IN'), ('Go', 'NNP'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 3), ('punct', 3, 1), ('advmod', 3, 2), ('mark', 7, 4), ('nsubj', 7, 5), ('cop', 7, 6), ('ccomp', 3, 7), ('mark', 9, 8), ('xcomp', 7, 9), ('obj', 9, 10), ('case', 12, 11), ('obl', 9, 12), ('cc', 14, 13), ('conj', 12, 14), ('dep', 12, 15), ('case', 17, 16), ('nmod', 15, 17), ('punct', 3, 18), ('punct', 3, 19)]",I 
455,207912_4,ob,this,'This is quite annoying... ' ,,,,,,,"[(""'"", '``'), ('This', 'DT'), ('is', 'VBZ'), ('quite', 'RB'), ('annoying', 'JJ'), ('...', ':'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('nsubj', 5, 2), ('cop', 5, 3), ('advmod', 5, 4), ('punct', 5, 6), ('punct', 5, 7)]",
456,308814_1,ob,bug,'This bug is really annoying.' ,,,,,,,"[(""'"", '``'), ('This', 'DT'), ('bug', 'NN'), ('is', 'VBZ'), ('really', 'RB'), ('annoying', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('det', 3, 2), ('nsubj', 6, 3), ('cop', 6, 4), ('advmod', 6, 5), ('punct', 6, 7), ('punct', 6, 8)]",
457,231224_1,ob,exceptions,'and now you dont base your flow on exceptions which i find kind of ugly' ,,,,,,i ,"[(""'"", ""''""), ('and', 'CC'), ('now', 'RB'), ('you', 'PRP'), ('do', 'VBP'), ('nt', 'RB'), ('base', 'VB'), ('your', 'PRP$'), ('flow', 'NN'), ('on', 'IN'), ('exceptions', 'NNS'), ('which', 'WDT'), ('i', 'PRP'), ('find', 'VBP'), ('kind', 'NN'), ('of', 'IN'), ('ugly', 'JJ'), (""'"", ""''"")]","[('ROOT', 0, 7), ('punct', 7, 1), ('cc', 7, 2), ('advmod', 7, 3), ('nsubj', 7, 4), ('aux', 7, 5), ('advmod', 7, 6), ('nmod:poss', 9, 8), ('obj', 7, 9), ('case', 11, 10), ('nmod', 9, 11), ('obj', 14, 12), ('nsubj', 14, 13), ('acl:relcl', 11, 14), ('advmod', 17, 15), ('fixed', 15, 16), ('xcomp', 14, 17), ('punct', 7, 18)]",
458,284880_1,ob,workaround,'Yes indeed the given workaround is ugly.' ,,,,,,,"[(""'"", '``'), ('Yes', 'UH'), ('indeed', 'RB'), ('the', 'DT'), ('given', 'VBN'), ('workaround', 'NN'), ('is', 'VBZ'), ('ugly', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 8), ('punct', 8, 1), ('discourse', 8, 2), ('advmod', 8, 3), ('det', 6, 4), ('amod', 6, 5), ('nsubj', 8, 6), ('cop', 8, 7), ('punct', 8, 9), ('punct', 8, 10)]",i 
459,244578_23,ob,that (one could have…),'One could have different transform rules for some types of element insertions but that is very ugly and essentially introducing a separate operation type anyway.' ,,,,,One ,,"[(""'"", '``'), ('One', 'PRP'), ('could', 'MD'), ('have', 'VB'), ('different', 'JJ'), ('transform', 'VB'), ('rules', 'NNS'), ('for', 'IN'), ('some', 'DT'), ('types', 'NNS'), ('of', 'IN'), ('element', 'NN'), ('insertions', 'NNS'), ('but', 'CC'), ('that', 'DT'), ('is', 'VBZ'), ('very', 'RB'), ('ugly', 'JJ'), ('and', 'CC'), ('essentially', 'RB'), ('introducing', 'VBG'), ('a', 'DT'), ('separate', 'JJ'), ('operation', 'NN'), ('type', 'NN'), ('anyway', 'RB'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('nsubj', 4, 2), ('aux', 4, 3), ('amod', 7, 5), ('amod', 7, 6), ('obj', 4, 7), ('case', 10, 8), ('det', 10, 9), ('nmod', 7, 10), ('case', 13, 11), ('compound', 13, 12), ('nmod', 10, 13), ('cc', 18, 14), ('nsubj', 18, 15), ('cop', 18, 16), ('advmod', 18, 17), ('conj', 4, 18), ('cc', 21, 19), ('advmod', 21, 20), ('conj', 18, 21), ('det', 25, 22), ('amod', 25, 23), ('compound', 25, 24), ('obj', 21, 25), ('advmod', 21, 26), ('punct', 4, 27), ('punct', 4, 28)]",
460,215759_2,ob,(missing?),'The need for PAGE_CONTEXT is due to some very complex and annoying!' ,,,,,,,"[(""'"", '``'), ('The', 'DT'), ('need', 'NN'), ('for', 'IN'), ('PAGE_CONTEXT', 'NN'), ('is', 'VBZ'), ('due', 'JJ'), ('to', 'IN'), ('some', 'DT'), ('very', 'RB'), ('complex', 'JJ'), ('and', 'CC'), ('annoying', 'JJ'), ('!', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('det', 3, 2), ('nsubj', 7, 3), ('case', 5, 4), ('nmod', 3, 5), ('cop', 7, 6), ('dep', 1, 7), ('fixed', 7, 8), ('dep', 7, 9), ('advmod', 11, 10), ('amod', 9, 11), ('cc', 13, 12), ('conj', 11, 13), ('punct', 7, 14), ('punct', 7, 15)]",One 
461,282051_9,ob,this,'This is annoying and fragile.' ,,,,,,,"[(""'"", '``'), ('This', 'DT'), ('is', 'VBZ'), ('annoying', 'JJ'), ('and', 'CC'), ('fragile', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('nsubj', 4, 2), ('cop', 4, 3), ('cc', 6, 5), ('conj', 4, 6), ('punct', 4, 7), ('punct', 4, 8)]",
462,301186_13,ob,(using Thrift?),'4 Now that I am using Thrift in anger I find that the fidelity of the language-binding for the types that already exist seems far far more important than adding new types.',,,,,I ,I ,"[(""'"", '``'), ('4', 'CD'), ('Now', 'RB'), ('that', 'IN'), ('I', 'PRP'), ('am', 'VBP'), ('using', 'VBG'), ('Thrift', 'NN'), ('in', 'IN'), ('anger', 'NN'), ('I', 'PRP'), ('find', 'VBP'), ('that', 'IN'), ('the', 'DT'), ('fidelity', 'NN'), ('of', 'IN'), ('the', 'DT'), ('language', 'NN'), ('-', 'HYPH'), ('binding', 'VBG'), ('for', 'IN'), ('the', 'DT'), ('types', 'NNS'), ('that', 'WDT'), ('already', 'RB'), ('exist', 'VBP'), ('seems', 'VBZ'), ('far', 'RB'), ('far', 'RB'), ('more', 'RBR'), ('important', 'JJ'), ('than', 'IN'), ('adding', 'VBG'), ('new', 'JJ'), ('types', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 12), ('punct', 12, 1), ('nsubj', 12, 2), ('advmod', 7, 3), ('mark', 7, 4), ('nsubj', 7, 5), ('aux', 7, 6), ('acl', 2, 7), ('obj', 7, 8), ('case', 10, 9), ('obl', 7, 10), ('nsubj', 12, 11), ('obj', 12, 13), ('det', 15, 14), ('dep', 13, 15), ('case', 20, 16), ('det', 20, 17), ('obl', 20, 18), ('punct', 20, 19), ('nmod', 15, 20), ('case', 23, 21), ('det', 23, 22), ('nmod', 20, 23), ('obj', 27, 24), ('advmod', 26, 25), ('nsubj', 27, 26), ('acl:relcl', 23, 27), ('advmod', 29, 28), ('advmod', 31, 29), ('advmod', 31, 30), ('xcomp', 27, 31), ('case', 35, 32), ('amod', 35, 33), ('amod', 35, 34), ('obl', 31, 35), ('punct', 12, 36), ('punct', 12, 37)]",
463,251055_2,ob,it,'It is definitely annoying.' ,,,,,,,"[(""'"", '``'), ('It', 'PRP'), ('is', 'VBZ'), ('definitely', 'RB'), ('annoying', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('nsubj', 5, 2), ('cop', 5, 3), ('advmod', 5, 4), ('punct', 5, 6), ('punct', 5, 7)]",I I 
464,281093_3,ob,which (add new 64-bit…),'Alternatively we would have to add new 64-bit variants where necessary which seems annoying.',,,,,,,"[(""'"", '``'), ('Alternatively', 'RB'), ('we', 'PRP'), ('would', 'MD'), ('have', 'VB'), ('to', 'TO'), ('add', 'VB'), ('new', 'JJ'), ('64', 'CD'), ('-', 'HYPH'), ('bit', 'NN'), ('variants', 'NNS'), ('where', 'WRB'), ('necessary', 'JJ'), ('which', 'WDT'), ('seems', 'VBZ'), ('annoying', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('advmod', 5, 2), ('nsubj', 5, 3), ('aux', 5, 4), ('dep', 1, 5), ('mark', 7, 6), ('ccomp', 5, 7), ('amod', 12, 8), ('nummod', 11, 9), ('punct', 11, 10), ('compound', 12, 11), ('obj', 7, 12), ('dep', 12, 13), ('dep', 13, 14), ('nsubj', 16, 15), ('ccomp', 14, 16), ('xcomp', 16, 17), ('punct', 5, 18), ('punct', 5, 19)]",
465,198039_2,ob,work,'I had to do a lot of annoying repair work before I could run it due to the extra line-breaks that were inserted when you pasted into the web form in the future please use Bugzilla is 'Create a new attachment' mechanism.' ,,,,,I ,I ,"[(""'"", '``'), ('I', 'PRP'), ('had', 'VBD'), ('to', 'TO'), ('do', 'VB'), ('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('annoying', 'JJ'), ('repair', 'NN'), ('work', 'NN'), ('before', 'IN'), ('I', 'PRP'), ('could', 'MD'), ('run', 'VB'), ('it', 'PRP'), ('due', 'IN'), ('to', 'IN'), ('the', 'DT'), ('extra', 'JJ'), ('line', 'NN'), ('-', 'HYPH'), ('breaks', 'NNS'), ('that', 'WDT'), ('were', 'VBD'), ('inserted', 'VBN'), ('when', 'WRB'), ('you', 'PRP'), ('pasted', 'VBD'), ('into', 'IN'), ('the', 'DT'), ('web', 'NN'), ('form', 'NN'), ('in', 'IN'), ('the', 'DT'), ('future', 'NN'), ('please', 'UH'), ('use', 'VB'), ('Bugzilla', 'NNP'), ('is', 'VBZ'), (""'"", '``'), ('Create', 'VB'), ('a', 'DT'), ('new', 'JJ'), ('attachment', 'NN'), (""'"", ""''""), ('mechanism', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('nsubj', 5, 2), ('aux', 5, 3), ('mark', 5, 4), ('det', 7, 6), ('obj', 5, 7), ('case', 11, 8), ('amod', 11, 9), ('compound', 11, 10), ('nmod', 7, 11), ('mark', 15, 12), ('nsubj', 15, 13), ('aux', 15, 14), ('advcl', 5, 15), ('obj', 15, 16), ('case', 23, 17), ('fixed', 17, 18), ('det', 23, 19), ('amod', 23, 20), ('compound', 23, 21), ('punct', 23, 22), ('obl', 15, 23), ('nsubj:pass', 26, 24), ('aux:pass', 26, 25), ('acl:relcl', 23, 26), ('advmod', 29, 27), ('nsubj', 29, 28), ('advcl', 42, 29), ('case', 33, 30), ('det', 33, 31), ('compound', 33, 32), ('obl', 29, 33), ('case', 36, 34), ('det', 36, 35), ('obl', 29, 36), ('discourse', 38, 37), ('csubj', 42, 38), ('obj', 38, 39), ('aux', 42, 40), ('punct', 42, 41), ('ccomp', 26, 42), ('det', 45, 43), ('amod', 45, 44), ('compound', 47, 45), ('punct', 45, 46), ('obj', 42, 47), ('punct', 5, 48), ('punct', 5, 49)]",
466,211330_4,ob,this,'While this is annoying and could potentially be an issue which is why I suggest we block the 'session' parameter in the next release it does not allow any method execution or server-side state change and therefore I do not consider it a security hole.' ,,,,,,we ,"[(""'"", '``'), ('While', 'IN'), ('this', 'DT'), ('is', 'VBZ'), ('annoying', 'JJ'), ('and', 'CC'), ('could', 'MD'), ('potentially', 'RB'), ('be', 'VB'), ('an', 'DT'), ('issue', 'NN'), ('which', 'WDT'), ('is', 'VBZ'), ('why', 'WRB'), ('I', 'PRP'), ('suggest', 'VBP'), ('we', 'PRP'), ('block', 'VB'), ('the', 'DT'), (""'"", '``'), ('session', 'NN'), (""'"", ""''""), ('parameter', 'NN'), ('in', 'IN'), ('the', 'DT'), ('next', 'JJ'), ('release', 'NN'), ('it', 'PRP'), ('does', 'VBZ'), ('not', 'RB'), ('allow', 'VB'), ('any', 'DT'), ('method', 'NN'), ('execution', 'NN'), ('or', 'CC'), ('server', 'NN'), ('-', 'HYPH'), ('side', 'NN'), ('state', 'NN'), ('change', 'NN'), ('and', 'CC'), ('therefore', 'RB'), ('I', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('consider', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('security', 'NN'), ('hole', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('mark', 5, 2), ('nsubj', 5, 3), ('cop', 5, 4), ('dep', 1, 5), ('cc', 11, 6), ('aux', 11, 7), ('advmod', 11, 8), ('cop', 11, 9), ('det', 11, 10), ('conj', 5, 11), ('nsubj', 13, 12), ('ccomp', 11, 13), ('advmod', 16, 14), ('nsubj', 16, 15), ('advcl', 13, 16), ('nsubj', 18, 17), ('ccomp', 16, 18), ('det', 21, 19), ('punct', 21, 20), ('compound', 23, 21), ('punct', 21, 22), ('obj', 18, 23), ('case', 27, 24), ('det', 27, 25), ('amod', 27, 26), ('obl', 18, 27), ('nsubj', 31, 28), ('aux', 31, 29), ('advmod', 31, 30), ('parataxis', 18, 31), ('det', 34, 32), ('compound', 34, 33), ('obj', 31, 34), ('cc', 40, 35), ('compound', 38, 36), ('punct', 38, 37), ('compound', 40, 38), ('compound', 40, 39), ('conj', 34, 40), ('cc', 46, 41), ('advmod', 46, 42), ('nsubj', 46, 43), ('aux', 46, 44), ('advmod', 46, 45), ('conj', 31, 46), ('nsubj', 50, 47), ('det', 50, 48), ('compound', 50, 49), ('xcomp', 46, 50), ('punct', 5, 51), ('punct', 5, 52)]",I I 
467,237893_1,self,me,'Thanks a lot igor and... shame on me for this mistake.' ,,,,,,,"[(""'"", '``'), ('Thanks', 'NN'), ('a', 'DT'), ('lot', 'NN'), ('igor', 'NN'), ('and', 'CC'), ('...', 'NFP'), ('shame', 'NN'), ('on', 'IN'), ('me', 'PRP'), ('for', 'IN'), ('this', 'DT'), ('mistake', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('dep', 1, 2), ('det', 5, 3), ('compound', 5, 4), ('dep', 2, 5), ('cc', 8, 6), ('punct', 8, 7), ('conj', 5, 8), ('case', 10, 9), ('nmod', 8, 10), ('case', 13, 11), ('det', 13, 12), ('obl', 2, 13), ('punct', 2, 14), ('punct', 2, 15)]",I we 
468,310077_1,ob,proposal (For WildCard types),'For WildCard types in C++ a dumb proposal.' ,,,,,,,"[(""'"", '``'), ('For', 'IN'), ('WildCard', 'NNP'), ('types', 'NNS'), ('in', 'IN'), ('C', 'NN'), ('a', 'DT'), ('dumb', 'JJ'), ('proposal', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('case', 4, 2), ('compound', 4, 3), ('dep', 1, 4), ('case', 6, 5), ('nmod', 4, 6), ('det', 9, 7), ('amod', 9, 8), ('dep', 4, 9), ('punct', 4, 10), ('punct', 4, 11)]",
469,420147_6,ob,editors,'I was a big fan of Hungarian notation in C when I was using dumb text editors ... it does not add enough value in an O-O language with modern tools to make up for the fact that my eye stutters over it every time I see it.' ,,,,,I ,I ,"[(""'"", '``'), ('I', 'PRP'), ('was', 'VBD'), ('a', 'DT'), ('big', 'JJ'), ('fan', 'NN'), ('of', 'IN'), ('Hungarian', 'JJ'), ('notation', 'NN'), ('in', 'IN'), ('C', 'NN'), ('when', 'WRB'), ('I', 'PRP'), ('was', 'VBD'), ('using', 'VBG'), ('dumb', 'JJ'), ('text', 'NN'), ('editors', 'NNS'), ('...', ','), ('it', 'PRP'), ('does', 'VBZ'), ('not', 'RB'), ('add', 'VB'), ('enough', 'JJ'), ('value', 'NN'), ('in', 'IN'), ('an', 'DT'), ('O', 'NN'), ('-', 'HYPH'), ('O', 'NN'), ('language', 'NN'), ('with', 'IN'), ('modern', 'JJ'), ('tools', 'NNS'), ('to', 'TO'), ('make', 'VB'), ('up', 'RP'), ('for', 'IN'), ('the', 'DT'), ('fact', 'NN'), ('that', 'IN'), ('my', 'PRP$'), ('eye', 'NN'), ('stutters', 'VBZ'), ('over', 'IN'), ('it', 'PRP'), ('every', 'DT'), ('time', 'NN'), ('I', 'PRP'), ('see', 'VBP'), ('it', 'PRP'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('nsubj', 6, 2), ('cop', 6, 3), ('det', 6, 4), ('amod', 6, 5), ('case', 9, 7), ('amod', 9, 8), ('nmod', 6, 9), ('case', 11, 10), ('nmod', 6, 11), ('advmod', 15, 12), ('nsubj', 15, 13), ('aux', 15, 14), ('acl:relcl', 6, 15), ('amod', 18, 16), ('compound', 18, 17), ('obj', 15, 18), ('punct', 15, 19), ('nsubj', 23, 20), ('aux', 23, 21), ('advmod', 23, 22), ('parataxis', 15, 23), ('amod', 25, 24), ('obj', 23, 25), ('case', 31, 26), ('det', 31, 27), ('compound', 30, 28), ('punct', 30, 29), ('compound', 31, 30), ('obl', 23, 31), ('mark', 36, 32), ('amod', 34, 33), ('nsubj', 36, 34), ('mark', 36, 35), ('acl', 31, 36), ('compound:prt', 36, 37), ('case', 40, 38), ('det', 40, 39), ('obl', 36, 40), ('mark', 44, 41), ('nmod:poss', 43, 42), ('nsubj', 44, 43), ('ccomp', 40, 44), ('case', 46, 45), ('obl', 44, 46), ('det', 48, 47), ('obl:tmod', 44, 48), ('nsubj', 50, 49), ('parataxis', 15, 50), ('obj', 50, 51), ('punct', 6, 52), ('punct', 6, 53)]",
470,1692069_1,ob,logic,'The old logic had no hope of working.' ,,,,,,,"[(""'"", '``'), ('The', 'DT'), ('old', 'JJ'), ('logic', 'NN'), ('had', 'VBD'), ('no', 'DT'), ('hope', 'NN'), ('of', 'IN'), ('working', 'VBG'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('det', 4, 2), ('amod', 4, 3), ('nsubj', 5, 4), ('det', 7, 6), ('obj', 5, 7), ('case', 9, 8), ('nmod', 7, 9), ('punct', 5, 10), ('punct', 5, 11)]",it I it I 
471,251716_1,ob,way (the javascript validators…),'Urghhhhh yes this is a problem and all down to the horrible way the javascript validators are structured to 'call back'.' ,,,,,,,"[(""'"", '``'), ('Urghhhhh', 'NN'), ('yes', 'UH'), ('this', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('problem', 'NN'), ('and', 'CC'), ('all', 'DT'), ('down', 'RP'), ('to', 'IN'), ('the', 'DT'), ('horrible', 'JJ'), ('way', 'NN'), ('the', 'DT'), ('javascript', 'NN'), ('validators', 'NNS'), ('are', 'VBP'), ('structured', 'VBN'), ('to', 'TO'), (""'"", '``'), ('call', 'VB'), ('back', 'RP'), (""'"", ""''""), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 7), ('punct', 7, 1), ('nsubj', 7, 2), ('discourse', 7, 3), ('nsubj', 7, 4), ('cop', 7, 5), ('det', 7, 6), ('cc', 14, 8), ('dep', 14, 9), ('dep', 14, 10), ('case', 14, 11), ('det', 14, 12), ('amod', 14, 13), ('conj', 7, 14), ('det', 17, 15), ('compound', 17, 16), ('nsubj:pass', 19, 17), ('aux:pass', 19, 18), ('dep', 14, 19), ('mark', 22, 20), ('punct', 22, 21), ('xcomp', 19, 22), ('compound:prt', 22, 23), ('punct', 22, 24), ('punct', 7, 25), ('punct', 7, 26)]",
472,689788_1,ob,Mmap (ambiguo),'Oh shit on windows a very lot of tests are failing with MMap.' ,,,,,,,"[(""'"", '``'), ('Oh', 'UH'), ('shit', 'NN'), ('on', 'IN'), ('windows', 'NNS'), ('a', 'DT'), ('very', 'RB'), ('lot', 'NN'), ('of', 'IN'), ('tests', 'NNS'), ('are', 'VBP'), ('failing', 'VBG'), ('with', 'IN'), ('MMap', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 12), ('punct', 12, 1), ('dep', 3, 2), ('obl', 12, 3), ('case', 5, 4), ('nmod', 3, 5), ('det', 8, 6), ('advmod', 8, 7), ('nsubj', 12, 8), ('case', 10, 9), ('nmod', 8, 10), ('aux', 12, 11), ('case', 14, 13), ('obl', 12, 14), ('punct', 12, 15), ('punct', 12, 16)]",
473,1726746_3,self,me,'Ok this is just me being stupid.' ,,,,,,,"[(""'"", '``'), ('Ok', 'UH'), ('this', 'DT'), ('is', 'VBZ'), ('just', 'RB'), ('me', 'PRP'), ('being', 'VBG'), ('stupid', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 8), ('punct', 8, 1), ('discourse', 8, 2), ('nsubj', 8, 3), ('cop', 8, 4), ('advmod', 8, 5), ('nsubj', 8, 6), ('cop', 8, 7), ('punct', 8, 9), ('punct', 8, 10)]",
474,330777_15,ob,to see that happen,'This could ultimately sour them on Struts and being a Struts supporter I would hate to see that happen.' ,,,,,,,"[(""'"", '``'), ('This', 'DT'), ('could', 'MD'), ('ultimately', 'RB'), ('sour', 'VB'), ('them', 'PRP'), ('on', 'IN'), ('Struts', 'NNP'), ('and', 'CC'), ('being', 'VBG'), ('a', 'DT'), ('Struts', 'NNP'), ('supporter', 'NN'), ('I', 'PRP'), ('would', 'MD'), ('hate', 'VB'), ('to', 'TO'), ('see', 'VB'), ('that', 'DT'), ('happen', 'VB'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 5, 2), ('aux', 5, 3), ('advmod', 5, 4), ('dep', 1, 5), ('obj', 5, 6), ('case', 8, 7), ('obl', 5, 8), ('cc', 13, 9), ('cop', 13, 10), ('det', 13, 11), ('compound', 13, 12), ('conj', 5, 13), ('nsubj', 16, 14), ('aux', 16, 15), ('ccomp', 13, 16), ('mark', 18, 17), ('xcomp', 16, 18), ('nsubj', 20, 19), ('ccomp', 18, 20), ('punct', 5, 21), ('punct', 5, 22)]",
475,755701_2,ob,it,'It is really annoying since this actually prevents you from checking for valid paths in your code since itemExists is often called first.' ,,,,,,,"[(""'"", '``'), ('It', 'PRP'), ('is', 'VBZ'), ('really', 'RB'), ('annoying', 'JJ'), ('since', 'IN'), ('this', 'DT'), ('actually', 'RB'), ('prevents', 'VBZ'), ('you', 'PRP'), ('from', 'IN'), ('checking', 'VBG'), ('for', 'IN'), ('valid', 'JJ'), ('paths', 'NNS'), ('in', 'IN'), ('your', 'PRP$'), ('code', 'NN'), ('since', 'IN'), ('itemExists', 'NNS'), ('is', 'VBZ'), ('often', 'RB'), ('called', 'VBN'), ('first', 'RB'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 5, 2), ('cop', 5, 3), ('advmod', 5, 4), ('dep', 1, 5), ('mark', 9, 6), ('nsubj', 9, 7), ('advmod', 9, 8), ('advcl', 5, 9), ('obj', 9, 10), ('case', 12, 11), ('advcl', 9, 12), ('case', 15, 13), ('amod', 15, 14), ('obl', 12, 15), ('case', 18, 16), ('nmod:poss', 18, 17), ('nmod', 15, 18), ('mark', 23, 19), ('nsubj:pass', 23, 20), ('aux:pass', 23, 21), ('advmod', 23, 22), ('advcl', 12, 23), ('advmod', 23, 24), ('punct', 5, 25), ('punct', 5, 26)]",
476,714685_1,self,I (implicito),'After rereading all comments I see I made a terrible mistake.' ,,,,,I ,,"[(""'"", '``'), ('After', 'IN'), ('rereading', 'VBG'), ('all', 'DT'), ('comments', 'NNS'), ('I', 'PRP'), ('see', 'VBP'), ('I', 'PRP'), ('made', 'VBD'), ('a', 'DT'), ('terrible', 'JJ'), ('mistake', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('dep', 1, 2), ('dep', 2, 3), ('det', 5, 4), ('obj', 3, 5), ('nsubj', 7, 6), ('parataxis', 3, 7), ('nsubj', 9, 8), ('ccomp', 7, 9), ('det', 12, 10), ('amod', 12, 11), ('obj', 9, 12), ('punct', 2, 13), ('punct', 2, 14)]",
477,758571_3,ob,error,'It was a stupid error in my code.' ,,,,,,It ,"[(""'"", '``'), ('It', 'PRP'), ('was', 'VBD'), ('a', 'DT'), ('stupid', 'JJ'), ('error', 'NN'), ('in', 'IN'), ('my', 'PRP$'), ('code', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('nsubj', 6, 2), ('cop', 6, 3), ('det', 6, 4), ('amod', 6, 5), ('case', 9, 7), ('nmod:poss', 9, 8), ('nmod', 6, 9), ('punct', 6, 10), ('punct', 6, 11)]",I 
478,973583_2,ob,test,'I was tempted to plain remove it because its kinda dumb test tables have no data and one region only.... does same task 100 times.',,,,,,,"[(""'"", '``'), ('I', 'PRP'), ('was', 'VBD'), ('tempted', 'VBN'), ('to', 'IN'), ('plain', 'JJ'), ('remove', 'VB'), ('it', 'PRP'), ('because', 'IN'), ('its', 'PRP$'), ('kinda', 'RB'), ('dumb', 'JJ'), ('test', 'NN'), ('tables', 'NNS'), ('have', 'VBP'), ('no', 'DT'), ('data', 'NNS'), ('and', 'CC'), ('one', 'CD'), ('region', 'NN'), ('only', 'RB'), ('...', ':'), ('.', '.'), ('does', 'VBZ'), ('same', 'JJ'), ('task', 'NN'), ('100', 'CD'), ('times', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj:pass', 4, 2), ('aux:pass', 4, 3), ('dep', 1, 4), ('case', 7, 5), ('advmod', 7, 6), ('obl', 4, 7), ('obj', 4, 8), ('mark', 15, 9), ('nmod:poss', 14, 10), ('advmod', 12, 11), ('amod', 14, 12), ('compound', 14, 13), ('nsubj', 15, 14), ('advcl', 4, 15), ('det', 17, 16), ('obj', 15, 17), ('cc', 20, 18), ('nummod', 20, 19), ('conj', 17, 20), ('advmod', 15, 21), ('punct', 4, 22), ('punct', 4, 23), ('ROOT', 0, 1), ('amod', 3, 2), ('nsubj', 1, 3), ('nummod', 5, 4), ('obl:tmod', 3, 5), ('punct', 1, 6), ('ROOT', 0, 1)]",It 
479,1334343_1,self,me,'ah stupid me missed the isEmpty.' ,,,,,,,"[(""'"", '``'), ('ah', 'UH'), ('stupid', 'JJ'), ('me', 'PRP'), ('missed', 'VBD'), ('the', 'DT'), ('isEmpty', 'NNP'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('discourse', 5, 2), ('advmod', 5, 3), ('nsubj', 5, 4), ('det', 7, 6), ('obj', 5, 7), ('punct', 5, 8), ('punct', 5, 9)]",
480,319679_1,ob,that,'un-reopened... that was dumb we should just track it in the other defect.' ,,,,,we ,,"[(""'"", '``'), ('un-reopened', 'JJ'), ('...', ':'), ('that', 'DT'), ('was', 'VBD'), ('dumb', 'JJ'), ('we', 'PRP'), ('should', 'MD'), ('just', 'RB'), ('track', 'VB'), ('it', 'PRP'), ('in', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('defect', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('dep', 6, 2), ('punct', 6, 3), ('nsubj', 6, 4), ('cop', 6, 5), ('dep', 10, 6), ('nsubj', 10, 7), ('aux', 10, 8), ('advmod', 10, 9), ('dep', 1, 10), ('obj', 10, 11), ('case', 15, 12), ('det', 15, 13), ('amod', 15, 14), ('obl', 10, 15), ('punct', 10, 16), ('punct', 10, 17)]",
